Angstgift,Venenik,archaisches L.,25,13/8,5,+5,+3,48
Antidot,Spagyrik,Hexenküche,50,25/9,5,+5,+4,55
Bannpulver gg. Geister,Magika,archaisches L.,15,8/9,5,+3,+4,70
Bannpulver gg. Unsichtbares,Magika,Alchimistenl.,80,40/10,4,+6,+7,71
Bannstaub,Venenik,Alchimistenl.,250,125/3,3,+10,+7,49
Berserkerelixier,Narkotika,archaisches L.,40,20/8,5,+6,+3,59
Beschwörungskerzen,Magika,archaisches L.,5,2.5/10,6,+3,+0,71
Bestinoid,Narkotika,Alchimistenl.,100,50/4,3,+7,+9,60
Boabungaha,Venenik,archaisches L.,250,10/2,2/5,+12,+7,50
Borbarads Hauch,Magika,Alchimistenl.,25,13/3,3,+7,+18,72
Charismaelixier,Virtutica,Hexenküche,45,23/9,5,+5,+4,39
Drachenspeichel,Venenik,Alchimistenl.,60,30/7,5,+6,+3,50
Elixier gegen Verfall,Mutandica,Alchimistenl.,400,200/4,1,+15,+8,65
Eulentränen,keine,Hexenküche,0.1,0.05/12,7,+1,+3,36
Ewiges Öl,Inanimatica,Hexenküche,50,25/6,2/4,+6,+2,45
Fingerfertigkeitselixier,Virtutica,archaisches L.,30,15/8,4,+6,+5,39
Friedenswasser,Narkotika,Hexenküche,50,25/9,3,+4,+4,60
Furchtlos-Tropfen,Spagyrik,archaisches L.,20,10/12,4,+3,+3,55
Geheimtinte,keine,Hexenküche,0.3 bis 1,0.1 bis 0.5/13,5,+x,+x,36
Geisterelixier,Magika,archaisches L.,30,15/7,3/5,+3,+4,72
Gewandtheitselixier,Virtutica,Hexenküche,50,25/6,5,+6,+7,40
Halbgift,Venenik,Hexenküche,60,30/7,4,+6,+8,51
Hauch der Jugend,Mutandica,Hexenküche,60,30/7,3,+7,+4,65
Hauch der Weissagung,Narkotika,archaisches L.,30,15/6,4/6,+3,+2,61
Heiltrank,Spagyrik,archaisches L.,min. 10,5/14,7,+2,+1,56
Hexensalbe,Inanimatica,Hexenküche,–,unbekannt,nur Hexen,unbekannt,unbekannt,45
Hylailer Feuer,Inanimatica,Alchimistenl.,30,15/8,4,+6,+5,45
Ifirnstrunk,Mutandica,Hexenküche,35,18/7,4,+4,+4,66
Intuitionselixier,Virtutica,Hexenküche,35,18/8,4,+2,+5,40
Kaltes Licht,keine,archaisches L.,1,0.5/12,3,+2,+6,36
Klugheitselixier,Virtutica,Hexenküche,45,23/9,4,+3,+5,41
Konstitutionselixier,Virtutica,Hexenküche,40,20/7,5,+6,+3,41
Kraftelixier,Virtutica,archaisches L.,50,25/7,6,+7,+3,42
Krötenhauch,Venenik,Hexenküche,70,35/7,3,+4,+6,51
Levitationselixier,Mutandica,Alchimistenl.,70,35/7,3/5,+6,+0,66
Liebestrunk,Narkotika,Hexenküche,40,20/8,5,+5,+4,61
Magisches Brandöl,Inanimatica,Alchimistenl.,–,50/7,2,+12,+18,46
Mengbiller Bannbalöl,Narkotika,Alchimistenl.,140,70/4,2,+8,+6,62
Mutelixier,Virtutica,archaisches L.,40,20/8,6,+1,+1,42
Pastillen gg. Erschöpfung,Spagyrik,Hexenküche,10,5/11,6,+4,+4,56
Prophylaktikum gg. Kukris,Spagyrik,Alchimistenl.,35,18/4,4,+7,+7,57
Pulver des klaren Geistes,Spagyrik,archaisches L.,15,8/14,4,+3,+2,58
Purpurblitz,Venenik,Alchimistenl.,300,50/3,3,+8,+4,52
Purpurwasser,Mutandica,archaisches L.,–,40/1,1,+6,+6,66
Pyrophor,keine,archalisches L.,0.1 bis 0.2,0.05/10,4,+0,+1,36
Regenbogenstaub,Narkotika,Alchimistenl.,50,25/4,4,+6,+2,63
Respondarum,Virtutica,Alchimistenl.,60,30/7,5,+5,+4,43
Restorarium,Spagyrik,Alchimistenl.,120,60/3,3,+6,+3,58
Rethonikum,Mutandica,Alchimistenl.,50,25/6,3,+5,+3,67
Retro-Elixier,Magika,Alchimistenl.,min. 80,40/2,1,+7,+8,73
Scharfsinn-Elixier,Virtutica,archaisches L.,30,15/10,6,+4,+3,43
Schattenkreide,keine,Hexenküche,5,2.5/9,3 /5,+2,+2,37
Schlafgift,Venenik,Hexenküche,35,18/13,6,+5,+4,52
Schlaftrunk,Spagyrik,archaisches L.,20,10/10,5,+3,+1,59
Schwadenbeutel,keine,archaisches L.,2,1/8,6,+4,+1,37
Sonnenlicht-Elixier,Inanimatica,Alchimistenl.,100,50/5,1,+7,+4,47
Stabilisatum,Inanimatica,Hexenküche,120,60/5,3,+9,+4,47
Stinktöpfchen,keine,archaisches L.,0.3,0.15/9,6,+0,+1,38
Tränenkraut,keine,archaisches L.,1,0.5/6,6,+2,+3,38
Traumwind-Elixier,Narkotika,archaisches L.,60,30/8,2/4,+2,+4,64
Tulmadron,Venenik,archaisches L.,200,20/4,3/5,+9,+10,53
Unsichtbarkeitselixier,Mutandica,Alchimistenl.,60,30/6,4,+10,+6,68
Unverwundbarkeitselixier,Mutandica,archaisches L.,35,18/8,5,+5,+2,68
Verwandlungselixier,Mutandica,Hexenküche,70,35/8,5,+8,+5,69
Wachtrunk,Narkotika,archaisches L.,15,8/10,3,+1,+3,64
Waffenbalsam,Inanimatica,Hexenküche,35,18/8,5,+6,+3,48
Wasserwahn,Venenik,Alchimistenl.,180,50/4,3,+9,+7,53
Willenstrunk,Virtutica,Alchimistenl.,50,25/6,5,+6,+6,43
Wundpulver,keine,archaisches L.,0.1 bis 0.5,0.05 bis 0.25/10,7,+0,+2,38
Zauberkreide,Magika,archaisches L.,5,2,5/13,7,+2,+1,73
Zaubertrank,Magika,Hexenküche,min. 60,30/6,5,+8,+4,74
Zazamotoxin,Venenik,Alchimistenl.,250,75/1,2,+10,+8,54
Zielwasser,Virtutica,archaisches L.,35,18/10,6,+6,+4,44
Zurbarans Tinktur,Mutandica,Alchimistenl.,150,75/2,1,+ 10,+7,69
Zwei-Komponenten-Gifte,Venenik,Alchimistenl.,unbezahlbar,min. 100/3,1,+10,+15,54
Zwergentrunk,Mutandica,Alchimistenl.,80,40/8,4,+6,+4,70
